,Text,Character,season_no,episode_no,episode_name
0,[water rushing],,1,1,A Grain of Truth
1,[woodpecker drilling],,1,1,A Grain of Truth
2,[snarling],,1,1,A Grain of Truth
3,[screeching],,1,1,A Grain of Truth
4,-[yells] -[screeches],,1,1,A Grain of Truth
5,[grunting],,1,1,A Grain of Truth
6,[growls],,1,1,A Grain of Truth
7,[hisses],,1,1,A Grain of Truth
8,[neighs],,1,1,A Grain of Truth
9,[screeches],,1,1,A Grain of Truth
10,[sighs],,1,1,A Grain of Truth
11,"Today isn't your day, is it?",,1,1,A Grain of Truth
12,What will it be?,,1,1,A Grain of Truth
13,Point me to the alderman's house.,,1,1,A Grain of Truth
14,-It's down the alley to the left.,,1,1,A Grain of Truth
15,"We don't want your kind here, Witcher.",,1,1,A Grain of Truth
16,"The alderman, tell me where he is and I'll be on my way.",,1,1,A Grain of Truth
17,You don't give the orders around here...,,1,1,A Grain of Truth
18,[scoffs] you mutant son of a bitch.,,1,1,A Grain of Truth
19,-[innkeeper] Hear that? -[low rumble],,1,1,A Grain of Truth
20,"Go on your own or at the end of a rope, your choice.",,1,1,A Grain of Truth
21,Not a hard choice.,,1,1,A Grain of Truth
22,"Yeah, fuck that. Kill him with your bare hands if you have to.",,1,1,A Grain of Truth
23,"C'mon, Witcher. You're not scared of us, are ya? Show us what you've got. -Can you not leave it alone for a moment?",,1,1,A Grain of Truth
24,-Witchers can't be trusted. -[woman] I'm not speaking to you.,,1,1,A Grain of Truth
25,I apologize for my man's interference in your day. Hopefully he can improve his behavior by tomorrow's market.,,1,1,A Grain of Truth
26,"Sorry, Renfri. Come on, lads.",,1,1,A Grain of Truth
27,"Beer for my friend here and one for me. I am speaking to you now, good sir.",,1,1,A Grain of Truth
28,Want some breakfast?,,1,1,A Grain of Truth
29,I'm full. Venison.,,1,1,A Grain of Truth
30,"My mother, God rest her, would be mortified.",,1,1,A Grain of Truth
31,"Our secret, then.",,1,1,A Grain of Truth
32,"So, what brings you to Blaviken, White Hair? You came for a monster?",,1,1,A Grain of Truth
33,I was traveling by the swamp.,,1,1,A Grain of Truth
34,"That would be your mistake, then. Why wouldn't you travel by main roads?",,1,1,A Grain of Truth
35,It's hard to make a living on main roads.,,1,1,A Grain of Truth
36,And you desperately need money for new clothes.,,1,1,A Grain of Truth
37,Two more beers.,,1,1,A Grain of Truth
38,[sighs],,1,1,A Grain of Truth
39,"More and more, I find monsters wherever I go.",,1,1,A Grain of Truth
40,"How much coin for your kikimora, then?",,1,1,A Grain of Truth
41,I killed a rat this morning with my breakfast fork.,,1,1,A Grain of Truth
42,Stabbed it in its fat little gut.,,1,1,A Grain of Truth
43,"My mother nearly fainted, but what was I supposed to do?",,1,1,A Grain of Truth
44,It had been shitting in our pantry for days.,,1,1,A Grain of Truth
45,-[Witcher] You mentioned coin. -[girl] Yes.,,1,1,A Grain of Truth
46,Isadora said you were looking for my father.,,1,1,A Grain of Truth
47,"She's a gossip, you see.",,1,1,A Grain of Truth
48,Probably went two steps into the Lord's Inn,,1,1,A Grain of Truth
49,before she was running off telling everyone an evil witcher had arrived.,,1,1,A Grain of Truth
50,[horse snorts],,1,1,A Grain of Truth
51,You don't scare me.,,1,1,A Grain of Truth
52,That's too bad.,,1,1,A Grain of Truth
53,And I can also tell you that my father will have no usefor this beast.,,1,1,A Grain of Truth
54,"Your father, the alderman?",,1,1,A Grain of Truth
55,He posted a flyer.,,1,1,A Grain of Truth
56,For a graveir.,,1,1,A Grain of Truth
57,kikimoras are useful. Population control.,,1,1,A Grain of Truth
58,Hm.,,1,1,A Grain of Truth
59,"You should speak to Master Irion, our wizard.",,1,1,A Grain of Truth
60,He's willing to pay for odds and ends he needs for elixirs.,,1,1,A Grain of Truth
61,I sold him our dog when it died. Mysteriously.,,1,1,A Grain of Truth
62,Fine.,,1,1,A Grain of Truth
63,Take me to him.,,1,1,A Grain of Truth
64,I got 15 crowns for the yappy mutt.,,1,1,A Grain of Truth
65,That's enough to buy some new clothes. Just saying.,,1,1,A Grain of Truth
66,Hm.,,1,1,A Grain of Truth
67,"Come on, Roach.",,1,1,A Grain of Truth
68,[girl] Have you ever killed a succubus? A striga? Werewolf? She-wolf?,,1,1,A Grain of Truth
69,That's not a thing.,,1,1,A Grain of Truth
70,So you've killed the rest?,,1,1,A Grain of Truth
71,"I think that makes you a hero. My mother says ou're the offspring of foul sorcery, a diabolic creation, a filthy degenerate born of Hell.",,1,1,A Grain of Truth
72,Have you ever been to Hell?,,1,1,A Grain of Truth
73,I've never even left Blaviken.,,1,1,A Grain of Truth
74,"Because my mother's never left Blaviken,",,1,1,A Grain of Truth
75,"and if it's good enough for Libushe, then it's good enough for Marilka.",,1,1,A Grain of Truth
76,-That's my name. -[goat bleats],,1,1,A Grain of Truth
77,Marilka.,,1,1,A Grain of Truth
78,Like milk.,,1,1,A Grain of Truth
79,What's your name?,,1,1,A Grain of Truth
80,Geralt.,,1,1,A Grain of Truth
81,Like garroter?,,1,1,A Grain of Truth
82,Nice.,,1,1,A Grain of Truth
83,"Where are you from, Geralt?",,1,1,A Grain of Truth
84,Rivia.,,1,1,A Grain of Truth
85,"I don't know where that is, but I could learn, if you'd let me.",,1,1,A Grain of Truth
86,No.,,1,1,A Grain of Truth
87,Because I'm a girl and girls can't be witchers.,,1,1,A Grain of Truth
88,Which I think is probably the stupidest thing I've ever heard.,,1,1,A Grain of Truth
89,Hm.,,1,1,A Grain of Truth
90,I want more.,,1,1,A Grain of Truth
91,"I have to be more,",,1,1,A Grain of Truth
92,"because I don't know what to do in Blaviken for the rest of my life,",,1,1,A Grain of Truth
93,except go to the boring old market.,,1,1,A Grain of Truth
94,And kill rats.,,1,1,A Grain of Truth
95,And dogs.,,1,1,A Grain of Truth
96,Here we are.,,1,1,A Grain of Truth
97,Hold Roach.,,1,1,A Grain of Truth
98,-[whinnies] -Be nice.,,1,1,A Grain of Truth
99,"[Marilka] Hey, Roach.",,1,1,A Grain of Truth
100,[chiming sound],,1,1,A Grain of Truth
101,"[low, resonating hum]",,1,1,A Grain of Truth
102,[bird calling],,1,1,A Grain of Truth
103,Greetings.,,1,1,A Grain of Truth
104,I am Stregobor.,,1,1,A Grain of Truth
105,Master Stregobor.,,1,1,A Grain of Truth
106,Sorcerer.,,1,1,A Grain of Truth
107,I have a kikimora for Master Irion.,,1,1,A Grain of Truth
108,"Yes, well, forgive the confusion.",,1,1,A Grain of Truth
109,"Irion created this tower, but he's been dead 200 years.",,1,1,A Grain of Truth
110,"So, in order to honor him, I've taken his name as my...",,1,1,A Grain of Truth
111,personal sobriquet.,,1,1,A Grain of Truth
112,Hm.,,1,1,A Grain of Truth
113,"He create this illusion, too?",,1,1,A Grain of Truth
114,"No, this is, uh... this is...",,1,1,A Grain of Truth
115,my own creation.,,1,1,A Grain of Truth
116,Helps pass time more delightfully.,,1,1,A Grain of Truth
117,"Because you're in hiding, Stregobor.",,1,1,A Grain of Truth
118,How very clever of you...,,1,1,A Grain of Truth
119,Witcher.,,1,1,A Grain of Truth
120,Not often do we see your likeness here in Blaviken.,,1,1,A Grain of Truth
121,Not many of my likeness left.,,1,1,A Grain of Truth
122,Hm.,,1,1,A Grain of Truth
123,"I'd offer you my condolences, but...",,1,1,A Grain of Truth
124,I seem to remember that witchers don't feel...,,1,1,A Grain of Truth
125,anything.,,1,1,A Grain of Truth
126,I'm grateful destiny brought you to me.,,1,1,A Grain of Truth
127,Marilka brought me to you.,,1,1,A Grain of Truth
128,"Oh, Marilka. Marilka works for me.",,1,1,A Grain of Truth
129,Now and then.,,1,1,A Grain of Truth
130,On matters of great import.,,1,1,A Grain of Truth
131,A reclusive sorcerer who uses an alias,,1,1,A Grain of Truth
132,and hires a young girl to procure him a witcher.,,1,1,A Grain of Truth
133,You don't want my monster.,,1,1,A Grain of Truth
134,You want me to kill yours.,,1,1,A Grain of Truth
135,Very clever.,,1,1,A Grain of Truth
136,Indeed.,,1,1,A Grain of Truth
137,-What kind? -The worst kind.,,1,1,A Grain of Truth
138,The human kind.,,1,1,A Grain of Truth
139,Its name is Renfri.,,1,1,A Grain of Truth
140,Hm.,,1,1,A Grain of Truth
141,-[laughter] -Damn it.,,1,1,A Grain of Truth
142,"-[sighs] -Go on, Martin.",,1,1,A Grain of Truth
143,-Ah! Five. -Yeah!,,1,1,A Grain of Truth
144,-Not yet. -There's no way you can get five.,,1,1,A Grain of Truth
145,You're not taking a bite of that bread before I try.,,1,1,A Grain of Truth
146,[distant clatter of hooves],,1,1,A Grain of Truth
147,"-Better throw those knuckles. -Go on, then.",,1,1,A Grain of Truth
148,[hoofbeats approaching],,1,1,A Grain of Truth
149,-[laughter] -Told ya.,,1,1,A Grain of Truth
150,I didn't steal the bread. Korin did!,,1,1,A Grain of Truth
151,"-Quick! Quick! -Hey, shut up, you twat!",,1,1,A Grain of Truth
152,You need to come with us.,,1,1,A Grain of Truth
153,"[woman] As your Queen, I grant you this commendation,",,1,1,A Grain of Truth
154,which will symbolize your duty and bond as liegemen,,1,1,A Grain of Truth
155,in fealty to the crown of Cintra.,,1,1,A Grain of Truth
156,Could use with a bit of feel-ty myself right now.,,1,1,A Grain of Truth
157,Gross.,,1,1,A Grain of Truth
158,"[Queen] Do you promise to defend to your utmost the weak, the orphaned...",,1,1,A Grain of Truth
159,-Late wee pups don't get to bark. -I was playing in the square.,,1,1,A Grain of Truth
160,...speak only the truth...,,1,1,A Grain of Truth
161,-Knucklebones? -...loyal and brave...,,1,1,A Grain of Truth
162,Did you win this time? Like I showed you.,,1,1,A Grain of Truth
163,"-...at any cost... -I would have,",,1,1,A Grain of Truth
164,if the horsemen of doom hadn't ridden up like that.,,1,1,A Grain of Truth
165,-I grant you this... -If you can't win a game of knucklebones,,1,1,A Grain of Truth
166,-for fear of a few horses... -...duty and bond...,,1,1,A Grain of Truth
167,...what'll you do when you go into battle?,,1,1,A Grain of Truth
168,-...in fealty to the crown of Cintra. -[sighs],,1,1,A Grain of Truth
169,[sighs]  At least you didn't shit your kecks.,,1,1,A Grain of Truth
170,"As members of the Royal Family,",,1,1,A Grain of Truth
171,is it too much to ask that you exercise a modicum of respect?,,1,1,A Grain of Truth
172,Especially you.,,1,1,A Grain of Truth
173,This is your duty as king and grandfather.,,1,1,A Grain of Truth
174,[King sighs],,1,1,A Grain of Truth
175,"Grant me leave, my Queen. I am worn from my trip to the Isles.",,1,1,A Grain of Truth
176,And my bedchamber duties before that.,,1,1,A Grain of Truth
177,Gross.,,1,1,A Grain of Truth
178,"-[chuckles] -As your Queen,",,1,1,A Grain of Truth
179,"I grant you this commendation,",,1,1,A Grain of Truth
180,which will symbolize your duty and bond...,,1,1,A Grain of Truth
181,"[Stregobor] Destiny has many faces, Witcher.",,1,1,A Grain of Truth
182,"Mine, for example, is beautiful on the outside, but...",,1,1,A Grain of Truth
183,hideous on the inside.,,1,1,A Grain of Truth
184,She has stretched her bloody talons towards me.,,1,1,A Grain of Truth
185,Wizards are all the same.,,1,1,A Grain of Truth
186,You talk nonsense while making wise and meaningful faces.,,1,1,A Grain of Truth
187,Speak normally.,,1,1,A Grain of Truth
188,Have you ever heard of the...,,1,1,A Grain of Truth
189,Curse of the Black Sun?,,1,1,A Grain of Truth
190,"First full eclipse in 1,200 years.",,1,1,A Grain of Truth
191,"It marked the imminent return of Lilit,",,1,1,A Grain of Truth
192,demon goddess of the night sent to exterminate the human race.,,1,1,A Grain of Truth
193,"According to the wise mage Eltibald,",,1,1,A Grain of Truth
194,Lilit's path was to be prepared by 60 women wearing gold crowns,,1,1,A Grain of Truth
195,who'd fill the river valleys with blood.,,1,1,A Grain of Truth
196,Hm.,,1,1,A Grain of Truth
197,Doesn't rhyme.,,1,1,A Grain of Truth
198,All good predictions rhyme.,,1,1,A Grain of Truth
199,"I studied the girls born around the Black Sun,",,1,1,A Grain of Truth
200,and I found horrendous internal mutations among them.,,1,1,A Grain of Truth
201,"I tried to cure them,",,1,1,A Grain of Truth
202,"locked them in towers for safekeeping,",,1,1,A Grain of Truth
203,but the girls always died.,,1,1,A Grain of Truth
204,Internal mutations?,,1,1,A Grain of Truth
205,"They were autopsied, of course, to confirm my suspicions.",,1,1,A Grain of Truth
206,But eliminating these women was the lesser evil.,,1,1,A Grain of Truth
207,They could've drowned entire kingdoms in blood.,,1,1,A Grain of Truth
208,"If you'd been alive during Falka's Rebellion, seen what I saw--",,1,1,A Grain of Truth
209,Innocent women are dead.,,1,1,A Grain of Truth
210,Hm.,,1,1,A Grain of Truth
211,"But not Renfri, the beautiful one.",,1,1,A Grain of Truth
212,She's after you.,,1,1,A Grain of Truth
213,Daughter of King Fredefalk of Creyden.,,1,1,A Grain of Truth
214,I delivered the princess myself in the middle of the afternoon,,1,1,A Grain of Truth
215,in pitch black.,,1,1,A Grain of Truth
216,"Under the Black Sun, so... she's cursed.",,1,1,A Grain of Truth
217,"Do you consider me a fool, Witcher?",,1,1,A Grain of Truth
218,Do you think I did not conduct research? Renfri was acutely affected.,,1,1,A Grain of Truth
219,"Her stepmother, Aridea, told me she tortured a canary,",,1,1,A Grain of Truth
220,"strangled two puppies,",,1,1,A Grain of Truth
221,even gouged out her maid's eye with a comb.,,1,1,A Grain of Truth
222,"I admit what happened next was not ideal, but...",,1,1,A Grain of Truth
223,"with the lives of Aridea's own children on the line, we had to act.",,1,1,A Grain of Truth
224,So I dispatched someone to follow Renfri into the woods.,,1,1,A Grain of Truth
225,"We found him in the brush,",,1,1,A Grain of Truth
226,Renfri's antique brooch jammed into his ear.,,1,1,A Grain of Truth
227,"After that, I organized a manhunt to find the princess, but... eh...",,1,1,A Grain of Truth
228,she was gone.,,1,1,A Grain of Truth
229,Two years.,,1,1,A Grain of Truth
230,"Until she reappeared,",,1,1,A Grain of Truth
231,robbing and murdering merchants on the roads of Mahakam.,,1,1,A Grain of Truth
232,"Impaled them on sticks at first, but soon,",,1,1,A Grain of Truth
233,she picked up sword skills.,,1,1,A Grain of Truth
234,"And now no man can defy her, it's said.",,1,1,A Grain of Truth
235,You're not a man. You're a magician.,,1,1,A Grain of Truth
236,-She's resistant to magic. -That's impossible in humans.,,1,1,A Grain of Truth
237,Not...,,1,1,A Grain of Truth
238,mutated ones.,,1,1,A Grain of Truth
239,"She's chased me for years, bent on revenge.",,1,1,A Grain of Truth
240,"And now she's tracked me here, just as you arrived.",,1,1,A Grain of Truth
241,Destiny.,,1,1,A Grain of Truth
242,Kill her.,,1,1,A Grain of Truth
243,I'll pay you anything.,,1,1,A Grain of Truth
244,I kill monsters.,,1,1,A Grain of Truth
245,"The kikimora kills because it's hungry, Renfri kills for pleasure.",,1,1,A Grain of Truth
246,She is a monster. She is the last of Lilit's women.,,1,1,A Grain of Truth
247,And she possesses the power to destroy us all.,,1,1,A Grain of Truth
248,I don't believe anyone has that power.,,1,1,A Grain of Truth
249,"With the fate of the Continent at stake, is that a chance you're willing to take?",,1,1,A Grain of Truth
250,There's your rhyme.,,1,1,A Grain of Truth
251,Killing Renfri is...,,1,1,A Grain of Truth
252,the lesser evil.,,1,1,A Grain of Truth
253,"Evil is evil, Stregobor.",,1,1,A Grain of Truth
254,"Lesser, greater,",,1,1,A Grain of Truth
255,middling...,,1,1,A Grain of Truth
256,it's all the same.,,1,1,A Grain of Truth
257,I'm not judging you.,,1,1,A Grain of Truth
258,I haven't only done good in my life either.,,1,1,A Grain of Truth
259,"But now,",,1,1,A Grain of Truth
260,"if I have to choose between one evil and another,",,1,1,A Grain of Truth
261,then I prefer not to choose at all.,,1,1,A Grain of Truth
262,-[laughter] -[folk music playing],,1,1,A Grain of Truth
263,These shindigs need a touch of the old abracadabra.,,1,1,A Grain of Truth
264,"At your service, Your Majesty.",,1,1,A Grain of Truth
265,Tricks and illusions to delight.,,1,1,A Grain of Truth
266,He means to pull a disappearing act. don't you?,,1,1,A Grain of Truth
267,-No. -Hm.,,1,1,A Grain of Truth
268,I saw the Wraiths of M̦rhogg over the channel this morning.,,1,1,A Grain of Truth
269,"Yes, you mentioned.",,1,1,A Grain of Truth
270,-Who? -No good will come of it.,,1,1,A Grain of Truth
271,They're an omen of war.,,1,1,A Grain of Truth
272,The North has been at war since Nilfgaard took Ebbing.,,1,1,A Grain of Truth
273,"If legend is true, the Wild Hunt's years behind the curve.",,1,1,A Grain of Truth
274,The Nilfgaardian force crossed the Amell Pass.,,1,1,A Grain of Truth
275,"Headed to Sodden, if they're smart.",,1,1,A Grain of Truth
276,"And if not, 50 of your Skelligen ships are on the way.",,1,1,A Grain of Truth
277,We have more knights. We are prepared in case--,,1,1,A Grain of Truth
278,Prepared for what?,,1,1,A Grain of Truth
279,Nothing for you to be concerned about.,,1,1,A Grain of Truth
280,Your dismissive tone says it is.,,1,1,A Grain of Truth
281,"We're talking of war, girl.",,1,1,A Grain of Truth
282,With Nilfgaard?,,1,1,A Grain of Truth
283,-Why? -Eist!,,1,1,A Grain of Truth
284,"Should we fall to Nilfgaard, your granddaughter will rule.",,1,1,A Grain of Truth
285,She needs to understand the way of things.,,1,1,A Grain of Truth
286,"We will not fall, because we are not under attack!",,1,1,A Grain of Truth
287,She's a child.,,1,1,A Grain of Truth
288,You won your first battle in Hochebuz when you were my age.,,1,1,A Grain of Truth
289,I've heard the ballad.,,1,1,A Grain of Truth
290,Pretty ballads hide bastard truths.,,1,1,A Grain of Truth
291,It's a catchy song.,,1,1,A Grain of Truth
292,Three thousand of my men died.,,1,1,A Grain of Truth
293,"If we must do this now,",,1,1,A Grain of Truth
294,here is your first lesson.,,1,1,A Grain of Truth
295,"As in life, it is impossible always to be fully prepared for battle.",,1,1,A Grain of Truth
296,Keep your sword close...,,1,1,A Grain of Truth
297,and keep moving.,,1,1,A Grain of Truth
298,-[song ends] -[cheering],,1,1,A Grain of Truth
299,Your Majesty... Your Majesty.,,1,1,A Grain of Truth
300,Thank you for allowing our company at this splendid affair.,,1,1,A Grain of Truth
301,Your Majesties. Your Highness.,,1,1,A Grain of Truth
302,Would you honor me with a dance?,,1,1,A Grain of Truth
303,Uh... Martin--,,1,1,A Grain of Truth
304,She'd love to.,,1,1,A Grain of Truth
305,Reminds me of your daughter's betrothal feast.,,1,1,A Grain of Truth
306,"The night you finally saw sense, said yes.",,1,1,A Grain of Truth
307,Made me the happiest man on the Continent.,,1,1,A Grain of Truth
308,I did it to save my kingdom.,,1,1,A Grain of Truth
309,"And, no,",,1,1,A Grain of Truth
310,you may not leave this shindig.,,1,1,A Grain of Truth
311,"[whispers] Your Majesty, my scouts have returned.",,1,1,A Grain of Truth
312,Nilfgaard is on its way to Cintra.,,1,1,A Grain of Truth
313,[Queen] I stand corrected.,,1,1,A Grain of Truth
314,They're here.,,1,1,A Grain of Truth
315,They're already here.,,1,1,A Grain of Truth
316,So much for being smart.,,1,1,A Grain of Truth
317,You should tell the girl.,,1,1,A Grain of Truth
318,[Queen] Let her enjoy this night in peace.,,1,1,A Grain of Truth
319,It may be her last for a while.,,1,1,A Grain of Truth
320,[cheering],,1,1,A Grain of Truth
321,[Roach neighing],,1,1,A Grain of Truth
322,[birdsong],,1,1,A Grain of Truth
323,[twigs cracking],,1,1,A Grain of Truth
324,"The girl this morning,",,1,1,A Grain of Truth
325,"she took you to see Stregobor, didn't she?",,1,1,A Grain of Truth
326,"I know who you are, Renfri.",,1,1,A Grain of Truth
327,"You know that I want to kill Stregobor, then.",,1,1,A Grain of Truth
328,I used to be a princess. Did he tell you that?,,1,1,A Grain of Truth
329,Until he sent a thug into the woods to kill me.,,1,1,A Grain of Truth
